id,application_number,application_date,publication_number,publication_date,registration_number,registration_date,title,abstract,created_at,updated_at
1,2025-100000,2025-09-17 00:00:00.000000,JP2025-100000A,2026-03-17 00:00:00.000000,,,制御システムに関する構成,本発明は、制御システムに関する構成を可能にする。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システム構成を実現できる。,2025-04-27 00:18:09.874835,2025-04-27 10:21:13.774354
2,2025-100001,2025-09-13 00:00:00.000000,JP2025-100001A,2026-03-13 00:00:00.000000,,,画像処理に関する手段,本発明は、画像処理に関する手段を可能にする。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理手段を実現できる。,2025-04-27 00:18:09.912451,2025-04-27 10:21:13.799786
3,2025-100002,2025-03-19 00:00:00.000000,JP2025-100002A,2027-09-19 00:00:00.000000,,,通信方法に関する装置,本発明は、通信方法に関する装置を可能にする。特に、操作性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法装置を実現できる。,2025-04-27 00:18:09.937446,2025-04-27 10:21:13.817763
4,2025-100003,2025-05-25 00:00:00.000000,JP2025-100003A,2027-11-25 00:00:00.000000,,,画像処理に関する手段,本発明は、画像処理に関する手段を最適化する。特に、効率を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理手段を実現できる。,2025-04-27 00:18:09.988396,2025-04-27 10:21:13.830267
5,2025-100004,2025-07-27 00:00:00.000000,JP2025-100004A,2026-01-27 00:00:00.000000,,,画像処理に関する手段,本発明は、画像処理に関する手段を提供する。特に、精度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理手段を実現できる。,2025-04-27 00:18:10.032597,2025-04-27 10:21:13.848628
6,2024-100005,2024-08-16 00:00:00.000000,JP2024-100005A,2025-02-16 00:00:00.000000,,,デバイスに関する回路,本発明は、デバイスに関する回路を実現する。特に、拡張性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的なデバイス回路を実現できる。,2025-04-27 00:18:10.071433,2025-04-27 10:21:13.864817
7,2024-100006,2024-11-27 00:00:00.000000,JP2024-100006A,2025-05-27 00:00:00.000000,,,画像処理に関する手段,本発明は、画像処理に関する手段を最適化する。特に、精度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な画像処理手段を実現できる。,2025-04-27 00:18:10.098204,2025-04-27 10:21:13.883627
8,2024-100007,2024-10-26 00:00:00.000000,JP2024-100007A,2025-04-26 00:00:00.000000,,,通信方法に関する機構,本発明は、通信方法に関する機構を向上させる。特に、利便性を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な通信方法機構を実現できる。,2025-04-27 00:18:10.120998,2025-04-27 10:21:13.898735
9,2024-100008,2024-02-18 00:00:00.000000,JP2024-100008A,2026-08-18 00:00:00.000000,,,デバイスに関する回路,本発明は、デバイスに関する回路を実現する。特に、性能を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的なデバイス回路を実現できる。,2025-04-27 00:18:10.142873,2025-04-27 10:21:13.917242
10,2024-100009,2024-08-04 00:00:00.000000,JP2024-100009A,2025-02-04 00:00:00.000000,,,制御システムに関するデバイス,本発明は、制御システムに関するデバイスを実現する。特に、速度を向上させるための技術を提供する。本発明によれば、従来技術における課題を解決し、より効果的な制御システムデバイスを実現できる。,2025-04-27 00:18:10.171352,2025-04-27 10:21:13.937726
